unique_id,school_name,grade,start_date,end_date
1147005,Washington Middle School,7,2019-02-07,
1155574,Washington Middle School,8,2019-01-28,
1167301,Washington Middle School,8,2019-05-16,
1171259,Washington Middle School,8,2018-08-13,
1176992,Washington Middle School,8,2019-04-29,
1187205,Washington Middle School,8,2018-08-13,
1192910,Washington Middle School,8,2018-08-13,
1194054,Washington Middle School,7,2018-12-03,
1194221,Washington Middle School,7,2018-08-13,
1194665,Washington Middle School,8,2018-08-13,
1194733,Washington Middle School,8,2018-08-13,
1195005,Washington Middle School,8,2018-08-13,
1196481,Washington Middle School,8,2018-08-13,
1196929,Washington Middle School,7,2018-08-13,
1202258,Washington Middle School,8,2018-08-13,
1203796,Washington Middle School,7,2018-10-18,
1215602,Washington Middle School,8,2018-08-13,
1216177,Washington Middle School,8,2018-08-13,
1216453,Washington Middle School,8,2018-08-13,
1218644,Washington Middle School,8,2018-08-13,
1221351,Washington Middle School,8,2018-08-13,
1221950,Washington Middle School,8,2019-03-25,
1222081,Washington Middle School,8,2018-08-13,
1222312,Washington Middle School,8,2019-04-10,
1222983,Washington Middle School,7,2019-04-23,
1223418,Washington Middle School,8,2018-08-13,
1224614,Washington Middle School,8,2018-08-13,
1225256,Washington Middle School,8,2018-08-13,
1225275,Washington Middle School,8,2018-08-13,
1225542,Washington Middle School,8,2018-08-13,
1225558,Washington Middle School,7,2018-08-13,
1226318,Washington Middle School,7,2018-08-13,
1228238,Washington Middle School,7,2018-11-30,
1229907,Washington Middle School,7,2019-04-23,
1234952,Washington Middle School,8,2018-08-13,
1235829,Washington Middle School,8,2018-08-13,
1237508,Washington Middle School,7,2018-08-13,
1238136,Washington Middle School,8,2018-08-13,
1238892,Washington Middle School,7,2019-03-28,
1239046,Washington Middle School,7,2018-08-13,
1239282,Washington Middle School,8,2018-08-23,
1240937,Washington Middle School,7,2018-08-13,
1242300,Washington Middle School,7,2018-08-13,
1243821,Washington Middle School,7,2018-08-13,
1245121,Washington Middle School,6,2018-08-13,
1249766,Washington Middle School,8,2018-08-14,
1253064,Washington Middle School,7,2018-08-13,
1253440,Washington Middle School,7,2018-08-13,
1256251,Washington Middle School,7,2018-08-13,
1256306,Washington Middle School,7,2018-08-13,
1260132,Washington Middle School,6,2018-08-13,
1260188,Washington Middle School,6,2018-10-05,
1260196,Washington Middle School,7,2018-08-13,
1260585,Washington Middle School,7,2018-10-29,
1260907,Washington Middle School,7,2018-08-13,
1262016,Washington Middle School,7,2018-08-13,
1262770,Washington Middle School,7,2018-08-13,
1263642,Washington Middle School,7,2018-08-13,
1263771,Washington Middle School,6,2019-04-23,
1264245,Washington Middle School,7,2018-08-13,
1264348,Washington Middle School,7,2018-08-13,
1265928,Washington Middle School,7,2018-08-13,
1267348,Washington Middle School,7,2018-08-13,
1268098,Washington Middle School,7,2018-12-14,
1269305,Washington Middle School,7,2018-08-13,
1269703,Washington Middle School,7,2018-10-04,
1270342,Washington Middle School,7,2018-08-13,
1270436,Washington Middle School,6,2018-08-13,
1270681,Washington Middle School,7,2019-01-28,
1271886,Washington Middle School,7,2018-08-14,
1271967,Washington Middle School,7,2019-04-10,
1273644,Washington Middle School,7,2018-12-10,
1275310,Washington Middle School,7,2018-09-06,
1276008,Washington Middle School,7,2018-08-13,
1278510,Washington Middle School,7,2018-08-13,
1279715,Washington Middle School,7,2018-08-13,
1280427,Washington Middle School,7,2018-09-17,
